CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LATracts1,LATracts10,LAPOP1_10,LALOWI1_10,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
41001950100,Oregon,Baker County,0,2761,1211,0,6,0.22,0,0,0,19.6,60625,1,0,1,1778,765,2761,100.00,1125,40.75,512,18.54,608,22.02,2624,95.04,1,0.04,11,0.40,5,0.18,26,0.94,94,3.40,85,3.08,18,1.48,173,14.26,1778,64.40,765,27.72,337,12.20,395,14.32,1676,60.71,1,0.04,10,0.36,5,0.18,21,0.76,65,2.34,51,1.86,15,1.25,114,9.41,1140,512,608,2624,1,11,5,26,94,85,18,179
41001950200,Oregon,Baker County,1,3145,1371,0,0,0.00,0,1,0,19.1,64583,1,1,0,1598,535,1598,50.81,535,17.00,328,10.42,386,12.27,1513,48.09,4,0.13,5,0.16,0,0.00,21,0.67,55,1.75,33,1.06,65,4.73,171,12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,699,617,2956,11,14,1,44,119,125,193,342
41001950300,Oregon,Baker County,0,2648,1152,0,6,0.23,1,1,1,19.5,46389,1,0,1,648,314,1848,69.78,842,31.80,427,16.11,436,16.46,1735,65.51,6,0.21,8,0.30,1,0.04,31,1.18,67,2.54,48,1.83,51,4.41,216,18.79,648,24.47,314,11.84,114,4.30,187,7.05,594,22.43,1,0.04,5,0.19,1,0.04,20,0.76,27,1.02,18,0.68,27,2.37,83,7.16,1075,599,585,2494,8,9,1,36,100,81,103,312
41001950400,Oregon,Baker County,1,3026,1354,0,45,1.49,0,0,1,11.9,53963,0,0,0,11,3,11,0.37,3,0.10,3,0.11,2,0.07,11,0.37,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.05,1,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005,631,727,2859,3,26,0,40,98,96,137,252
41001950500,Oregon,Baker County,0,2630,1013,0,305,11.60,0,0,1,7.7,56250,0,0,0,154,41,1393,52.97,443,16.86,237,8.99,237,9.03,1292,49.12,23,0.87,13,0.49,0,0.00,14,0.53,51,1.96,71,2.70,6,0.62,46,4.53,154,5.86,41,1.58,36,1.37,21,0.82,140,5.32,1,0.04,1,0.03,0,0.00,0,0.00,12,0.46,6,0.24,1,0.10,6,0.55,645,546,469,2484,25,16,0,16,89,101,13,93
41001950600,Oregon,Baker County,0,1924,939,0,11,0.57,1,0,1,14.0,51667,1,0,1,1924,682,1924,100.00,682,35.46,293,15.23,536,27.86,1847,96.00,9,0.47,2,0.10,2,0.10,19,0.99,45,2.34,40,2.08,12,1.33,104,11.03,1924,100.00,682,35.46,293,15.23,536,27.86,1847,96.00,9,0.47,2,0.10,2,0.10,19,0.99,45,2.34,40,2.08,12,1.33,104,11.03,722,293,536,1847,9,2,2,19,45,40,13,102
41003000100,Oregon,Benton County,1,7059,2921,0,64,0.91,1,0,1,15.3,64271,1,1,0,3165,1043,3165,44.84,1043,14.77,678,9.61,195,2.76,2639,37.39,33,0.47,157,2.23,6,0.08,25,0.36,305,4.32,347,4.91,33,1.15,223,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3147,1432,458,6021,89,243,22,50,634,834,118,573
41003000202,Oregon,Benton County,1,5234,2255,0,0,0.00,0,0,0,11.3,96750,1,1,0,1655,315,1655,31.61,315,6.02,428,8.17,256,4.90,1561,29.82,12,0.22,23,0.43,2,0.03,15,0.28,43,0.83,41,0.79,28,1.24,9,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1197,1070,917,4610,45,298,12,29,240,195,166,34
41003000400,Oregon,Benton County,1,7820,3297,0,5,0.06,0,0,0,10.4,96416,1,1,0,1868,277,1868,23.89,277,3.55,453,5.79,255,3.26,1578,20.18,19,0.25,199,2.55,1,0.01,6,0.08,64,0.82,62,0.79,24,0.74,87,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595,1663,1276,6785,70,604,8,35,318,327,147,387
41003000500,Oregon,Benton County,0,3141,1298,0,54,1.72,0,0,0,10.0,111181,0,0,0,NA,NA,2415,76.90,408,12.98,463,14.75,467,14.88,2245,71.47,9,0.29,69,2.20,1,0.03,12,0.38,80,2.54,63,2.00,20,1.56,57,4.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613,586,719,2915,16,87,3,13,107,86,102,81
41003000600,Oregon,Benton County,1,4845,2090,0,142,2.93,1,1,1,21.2,53611,1,1,0,1502,675,1502,31.01,675,13.93,407,8.39,200,4.12,1352,27.91,14,0.29,26,0.53,4,0.07,12,0.24,95,1.96,100,2.06,50,2.37,138,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2170,1092,760,4142,71,196,17,38,381,397,270,501
41003000900,Oregon,Benton County,1,5438,2388,0,41,0.75,1,0,1,22.3,101580,1,1,0,1669,370,1669,30.69,370,6.81,343,6.30,271,4.98,1425,26.20,2,0.04,171,3.15,4,0.07,4,0.08,62,1.14,63,1.16,27,1.13,63,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1669,897,758,4725,31,375,17,26,264,260,145,228
41003001001,Oregon,Benton County,1,3872,1740,0,19,0.49,0,0,1,26.9,53239,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2153,804,491,3005,44,205,17,56,545,844,95,347
41003001002,Oregon,Benton County,1,3159,1330,0,18,0.57,0,0,1,24.2,83523,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344,486,377,2698,26,210,6,18,201,184,76,109
